First Name,Surname,Postcode,Gender,DOB,Salary
Company,Employee 0,CA3 0EN,M,9/11/1998,"27,000"
Company,Employee 1,CA3 0EN,M,22/6/1983,"27,000"
Company,Employee 2,CA3 0EN,M,27/3/1983,"27,000"
Company,Employee 3,CA3 0EN,F,23/3/1983,"27,000"
Company,Employee 4,CA3 0EN,F,27/4/1983,"27,000"
Company,Employee 5,CA3 0EN,F,4/6/1983,"27,000"
Company,Employee 6,CA3 0EN,F,6/10/1983,"27,000"
Company,Employee 7,CA3 0EN,M,8/7/1983,"27,000"
Company,Employee 8,CA3 0EN,F,1/10/1983,"27,000"
Company,Employee 9,CA3 0EN,M,1/11/1983,"27,000"
Company,Employee 10,CA3 0EN,F,24/7/1983,"27,000"
Company,Employee 11,CA3 0EN,F,5/7/1983,"27,000"
Company,Employee 12,CA3 0EN,F,3/1/1983,"27,000"
Company,Employee 13,CA3 0EN,F,25/3/1983,"27,000"
Company,Employee 14,CA3 0EN,F,7/4/1983,"27,000"
Company,Employee 15,CA3 0EN,F,17/2/1983,"27,000"
Company,Employee 16,CA3 0EN,F,4/5/1961,"27,000"
Company,Employee 17,CA3 0EN,F,17/12/1961,"27,000"
Company,Employee 18,CA3 0EN,M,6/6/1961,"27,000"
Company,Employee 19,CA3 0EN,M,18/8/1961,"27,000"
Company,Employee 20,CA3 0EN,M,13/1/1961,"27,000"
Company,Employee 21,CA3 0EN,M,27/9/1961,"27,000"
Company,Employee 22,CA3 0EN,M,10/4/1961,"27,000"
